Index,ImageURL
0,https://media.istockphoto.com/id/629838114/photo/group-of-people-in-the-bar.jpg?s=612x612&w=0&k=20&c=VFYqUF5PaJ1M8pR-IX8RoAUOZN1p6FqnCGCvsmjOVy4=
1,https://media.gettyimages.com/id/1124490976/photo/two-friends-drinking-in-stylish-bar.jpg?s=612x612&w=gi&k=20&c=hx_6e5UCU_8xdFIU2kU_d5b8dxO8ZhW3cVX099U7f0g=
2,https://media.istockphoto.com/id/641775168/photo/young-men-and-women-enjoying-a-party.jpg?s=612x612&w=0&k=20&c=AJDCeuX1OAVt93nGt3wuZ0riuvZTvyOmY0MMTeF9w2o=
3,https://c8.alamy.com/comp/TTCX91/young-people-in-a-bar-TTCX91.jpg
4,https://media.istockphoto.com/id/1269457909/photo/rear-view-friends-sitting-on-chairs-talking-at-the-bar-in-a-bar.jpg?s=612x612&w=0&k=20&c=bmAWRLG4JSs1_cJ_EgLdkP5RIRwtK6ms6MyphQJSI9c=
5,https://www.shutterstock.com/image-photo/group-young-cheerful-people-toasting-260nw-2281411825.jpg
6,https://media.gettyimages.com/id/200440157-004/photo/eight-men-drinking-alcohol-and-laughing-in-bar.jpg?s=612x612&w=gi&k=20&c=ZVuYBo0sqPJjOdL1Jy9sYXOt_3Yu-B71jv5VRVel3wA=
7,https://as2.ftcdn.net/jpg/01/45/27/63/1000_F_145276320_Vqn0xvIVhTt0p7AN50BzfRCf5H7PUOEq.jpg
8,https://previews.123rf.com/images/serezniy/serezniy1806/serezniy180621705/107150986-young-people-in-a-bar.jpg
9,https://media.istockphoto.com/id/1030952354/photo/couple-on-date-sitting-at-bar-counter-and-talking.jpg?s=612x612&w=0&k=20&c=i4wy_mGUWmRqGxa-pUahvqjvGkotjDy8OIDqJ6taZ7s=
10,https://www.shutterstock.com/shutterstock/photos/485912719/display_1500/stock-photo-young-people-group-in-bar-hold-beer-glasses-friends-sitting-at-wooden-counter-pub-friends-toast-485912719.jpg
11,https://c8.alamy.com/comp/D35K04/group-of-five-people-drinking-and-celebrating-in-a-bar-D35K04.jpg
12,https://media.gettyimages.com/id/1063846476/photo/friends-hanging-out-in-bar.jpg?s=612x612&w=gi&k=20&c=5ajhb2ewprBrHbgvag7UgxkgdF8bUC6Jr0JQmyGQV0Y=
13,https://media.istockphoto.com/id/1198044266/photo/a-drink-before-lunch.jpg?s=612x612&w=0&k=20&c=PiuQp2ENdZZfrAWbHqrf3VKWG8aveC5J6mhmTZVZXMs=
14,https://media.gettyimages.com/id/684936428/photo/group-of-people-in-the-bar.jpg?s=612x612&w=gi&k=20&c=eFsRrJsmihebR6ipK0HPOFhOSNI60QH60EiBHWqshmk=
